"rgn_id","sector","year","value"
1,"cf",2003,2432.4041
2,"cf",2003,2432.4041
3,"cf",2003,2432.4041
4,"cf",2003,2432.4041
1,"cf",2004,2294.5328
2,"cf",2004,2294.5328
3,"cf",2004,2294.5328
4,"cf",2004,2294.5328
1,"cf",2005,2141.4743
2,"cf",2005,2141.4743
3,"cf",2005,2141.4743
4,"cf",2005,2141.4743
1,"cf",2006,1974.2569
2,"cf",2006,1974.2569
3,"cf",2006,1974.2569
4,"cf",2006,1974.2569
1,"cf",2007,1944.5153
2,"cf",2007,1944.5153
3,"cf",2007,1944.5153
4,"cf",2007,1944.5153
1,"cf",2008,1762.2689
2,"cf",2008,1762.2689
3,"cf",2008,1762.2689
4,"cf",2008,1762.2689
1,"mar",2003,1830.09183786
2,"mar",2003,1830.09183786
3,"mar",2003,1830.09183786
4,"mar",2003,1830.09183786
1,"mar",2004,1664.86316733
2,"mar",2004,1664.86316733
3,"mar",2004,1664.86316733
4,"mar",2004,1664.86316733
1,"mar",2005,1692.83359269
2,"mar",2005,1692.83359269
3,"mar",2005,1692.83359269
4,"mar",2005,1692.83359269
1,"mar",2006,1351.55709648
2,"mar",2006,1351.55709648
3,"mar",2006,1351.55709648
4,"mar",2006,1351.55709648
1,"mar",2007,1611.09603936
2,"mar",2007,1611.09603936
3,"mar",2007,1611.09603936
4,"mar",2007,1611.09603936
1,"mar",2008,1438.18113411
2,"mar",2008,1438.18113411
3,"mar",2008,1438.18113411
4,"mar",2008,1438.18113411
1,"tour",2005,36668.87183
2,"tour",2005,36668.87183
3,"tour",2005,36668.87183
4,"tour",2005,36668.87183
1,"tour",2006,35695.518572
2,"tour",2006,35695.518572
3,"tour",2006,35695.518572
4,"tour",2006,35695.518572
1,"tour",2007,36031.7678793
2,"tour",2007,36031.7678793
3,"tour",2007,36031.7678793
4,"tour",2007,36031.7678793
1,"tour",2008,34262.0346829
2,"tour",2008,34262.0346829
3,"tour",2008,34262.0346829
4,"tour",2008,34262.0346829
1,"tour",2009,34598.2839902
2,"tour",2009,34598.2839902
3,"tour",2009,34598.2839902
4,"tour",2009,34598.2839902
1,"tour",2010,30315.5296549
2,"tour",2010,30315.5296549
3,"tour",2010,30315.5296549
4,"tour",2010,30315.5296549
