"rgn_id","year","area_km2"
4,0,3
3,0,3
1,0,3
2,0,3
4,1926,1
3,1926,1
1,1926,1
2,1926,1
4,1941,3
3,1941,3
1,1941,3
2,1941,3
4,1943,1
3,1943,1
1,1943,1
2,1943,1
4,1951,2
3,1951,2
1,1951,2
2,1951,2
4,1953,3
3,1953,3
1,1953,3
2,1953,3
4,1956,1
3,1956,1
1,1956,1
2,1956,1
4,1963,1
3,1963,1
1,1963,1
2,1963,1
4,1965,1
3,1965,1
1,1965,1
2,1965,1
4,1967,2
3,1967,2
1,1967,2
2,1967,2
4,1969,4
3,1969,4
1,1969,4
2,1969,4
4,1970,3
3,1970,3
1,1970,3
2,1970,3
4,1972,1
3,1972,1
1,1972,1
2,1972,1
4,1973,1
3,1973,1
1,1973,1
2,1973,1
4,1974,7
3,1974,7
1,1974,7
2,1974,7
4,1976,1
3,1976,1
1,1976,1
2,1976,1
4,1978,1
3,1978,1
1,1978,1
2,1978,1
4,1979,1
3,1979,1
1,1979,1
2,1979,1
4,1980,3
3,1980,3
1,1980,3
2,1980,3
4,1981,1
3,1981,1
1,1981,1
2,1981,1
4,1982,3
3,1982,3
1,1982,3
2,1982,3
4,1983,295
3,1983,295
1,1983,295
2,1983,295
4,1986,1
3,1986,1
1,1986,1
2,1986,1
4,1987,4
3,1987,4
1,1987,4
2,1987,4
4,1988,5
3,1988,5
1,1988,5
2,1988,5
4,1989,2
3,1989,2
1,1989,2
2,1989,2
4,1990,2
3,1990,2
1,1990,2
2,1990,2
4,1991,3
3,1991,3
1,1991,3
2,1991,3
4,1992,5
3,1992,5
1,1992,5
2,1992,5
4,1993,5
3,1993,5
1,1993,5
2,1993,5
4,1994,6
3,1994,6
1,1994,6
2,1994,6
4,1995,78
3,1995,78
1,1995,78
2,1995,78
4,1996,684
3,1996,684
1,1996,684
2,1996,684
4,1997,195
3,1997,195
1,1997,195
2,1997,195
4,1998,8165
3,1998,8165
1,1998,8165
2,1998,8165
4,1999,18
3,1999,18
1,1999,18
2,1999,18
4,2000,15
3,2000,15
1,2000,15
2,2000,15
4,2001,26
3,2001,26
1,2001,26
2,2001,26
4,2002,46
3,2002,46
1,2002,46
2,2002,46
4,2003,21
3,2003,21
1,2003,21
2,2003,21
4,2004,19
3,2004,19
1,2004,19
2,2004,19
4,2005,217
3,2005,217
1,2005,217
2,2005,217
4,2006,17
3,2006,17
1,2006,17
2,2006,17
4,2007,34
3,2007,34
1,2007,34
2,2007,34
4,2008,31
3,2008,31
1,2008,31
2,2008,31
4,2009,16
3,2009,16
1,2009,16
2,2009,16
4,2010,9
3,2010,9
1,2010,9
2,2010,9
4,2011,540
3,2011,540
1,2011,540
2,2011,540
4,2012,12
3,2012,12
1,2012,12
2,2012,12
