"rgn_id","sector","year","value"
1,"sb",2002,21142.7631432514
2,"sb",2002,21142.7631432514
3,"sb",2002,21142.7631432514
4,"sb",2002,21142.7631432514
1,"sb",2003,21012.041488604
2,"sb",2003,21012.041488604
3,"sb",2003,21012.041488604
4,"sb",2003,21012.041488604
1,"sb",2004,32341.6744569088
2,"sb",2004,32341.6744569088
3,"sb",2004,32341.6744569088
4,"sb",2004,32341.6744569088
1,"sb",2005,30235.52127849
2,"sb",2005,30235.52127849
3,"sb",2005,30235.52127849
4,"sb",2005,30235.52127849
1,"sb",2006,30665.192085114
2,"sb",2006,30665.192085114
3,"sb",2006,30665.192085114
4,"sb",2006,30665.192085114
1,"sb",2007,35862.5578703704
2,"sb",2007,35862.5578703704
3,"sb",2007,35862.5578703704
4,"sb",2007,35862.5578703704
1,"tour",2002,74668.6976940883
2,"tour",2002,74668.6976940883
3,"tour",2002,74668.6976940883
4,"tour",2002,74668.6976940883
1,"tour",2003,72123.1734664352
2,"tour",2003,72123.1734664352
3,"tour",2003,72123.1734664352
4,"tour",2003,72123.1734664352
1,"tour",2004,104244.254696404
2,"tour",2004,104244.254696404
3,"tour",2004,104244.254696404
4,"tour",2004,104244.254696404
1,"tour",2005,99909.6610131767
2,"tour",2005,99909.6610131767
3,"tour",2005,99909.6610131767
4,"tour",2005,99909.6610131767
1,"tour",2006,103254.977408297
2,"tour",2006,103254.977408297
3,"tour",2006,103254.977408297
4,"tour",2006,103254.977408297
1,"tour",2007,113991.923188213
2,"tour",2007,113991.923188213
3,"tour",2007,113991.923188213
4,"tour",2007,113991.923188213
1,"tran",1997,65543.3248753561
2,"tran",1997,65543.3248753561
3,"tran",1997,65543.3248753561
4,"tran",1997,65543.3248753561
1,"tran",1998,66118.0138221155
2,"tran",1998,66118.0138221155
3,"tran",1998,66118.0138221155
4,"tran",1998,66118.0138221155
1,"tran",1999,95972.3140357901
2,"tran",1999,95972.3140357901
3,"tran",1999,95972.3140357901
4,"tran",1999,95972.3140357901
1,"tran",2000,50176.0998152599
2,"tran",2000,50176.0998152599
3,"tran",2000,50176.0998152599
4,"tran",2000,50176.0998152599
1,"tran",2002,101501.499621617
2,"tran",2002,101501.499621617
3,"tran",2002,101501.499621617
4,"tran",2002,101501.499621617
