"rgn_id","year","popsum"
1,2005,1491678.73107871
2,2005,849689.108927846
3,2005,224131.344232885
4,2005,49323.1377662646
1,2006,1299372.80898535
2,2006,731978.353566002
3,2006,197446.510507834
4,2006,42577.043460001
1,2007,1299703.00438675
2,2007,725293.810064423
3,2007,198801.664791807
4,2007,41780.9245248977
1,2008,1300033.17580284
2,2008,718609.257079132
3,2008,200156.814866482
4,2008,40984.8052333763
1,2009,1300363.34791698
2,2009,711924.701527942
3,2009,201511.964351492
4,2009,40188.6854933406
1,2010,1493728.64962224
2,2010,811421.947817301
3,2010,231816.871668797
4,2010,44799.2142705089
1,2011,1287182.7879527
2,2011,691712.723445003
3,2011,202116.046673179
4,2011,38282.5695111404
1,2012,1273672.02654138
2,2012,678185.292451531
3,2012,201364.982003783
4,2012,37172.5747719272
1,2013,1260161.28919298
2,2013,664657.862476191
3,2013,200613.906825992
4,2013,36062.5792276496
1,2014,1246650.4957735
2,2014,651130.427945824
3,2014,199862.837491225
4,2014,34952.5827796934
1,2015,1416291.99883943
2,2015,733758.878863617
3,2015,227469.869826174
4,2015,38492.940019724
