"rgn_id","year","usd"
1,2002,79024425365.6171
2,2002,41274766328.602
3,2002,12669185098.9769
4,2002,2215623206.80397
1,2004,110521607451.698
2,2004,57725867676.0352
3,2004,17718809036.1142
4,2004,3098715836.15215
1,2005,114445821615.204
2,2005,59775500076.0523
3,2005,18347938515.7082
4,2005,3208739793.03517
1,2006,121560615386.101
2,2006,63491584679.1519
3,2006,19488581282.897
4,2006,3408218651.84991
1,2007,143878304695.55
2,2007,75148201060.4793
3,2007,23066550189.7849
4,2007,4033944054.1857
1,2008,158987669135.314
2,2008,83039881180.1338
3,2008,25488881436.4802
4,2008,4457568248.07153
1,2009,139935968881.654
2,2009,73089103651.6137
3,2009,22434515449.6714
4,2009,3923412017.06085
1,2010,137524620241.037
2,2010,71829646829.0201
3,2010,22047928364.4152
4,2010,3855804565.52763
1,2011,153748173895.108
2,2011,80303272331.4294
3,2011,24648886274.0192
4,2011,4310667499.44311
