"rgn_id","count","year"
4,4429634,1960
3,4429634,1960
1,4429634,1960
2,4429634,1960
4,4461005,1961
3,4461005,1961
1,4461005,1961
2,4461005,1961
4,4491443,1962
3,4491443,1962
1,4491443,1962
2,4491443,1962
4,4523309,1963
3,4523309,1963
1,4523309,1963
2,4523309,1963
4,4548543,1964
3,4548543,1964
1,4548543,1964
2,4548543,1964
4,4563732,1965
3,4563732,1965
1,4563732,1965
2,4563732,1965
4,4580869,1966
3,4580869,1966
1,4580869,1966
2,4580869,1966
4,4605744,1967
3,4605744,1967
1,4605744,1967
2,4605744,1967
4,4626469,1968
3,4626469,1968
1,4626469,1968
2,4626469,1968
4,4623785,1969
3,4623785,1969
1,4623785,1969
2,4623785,1969
4,4606307,1970
3,4606307,1970
1,4606307,1970
2,4606307,1970
4,4612124,1971
3,4612124,1971
1,4612124,1971
2,4612124,1971
4,4639657,1972
3,4639657,1972
1,4639657,1972
2,4639657,1972
4,4666081,1973
3,4666081,1973
1,4666081,1973
2,4666081,1973
4,4690574,1974
3,4690574,1974
1,4690574,1974
2,4690574,1974
4,4711440,1975
3,4711440,1975
1,4711440,1975
2,4711440,1975
4,4725664,1976
3,4725664,1976
1,4725664,1976
2,4725664,1976
4,4738902,1977
3,4738902,1977
1,4738902,1977
2,4738902,1977
4,4752528,1978
3,4752528,1978
1,4752528,1978
2,4752528,1978
4,4764690,1979
3,4764690,1979
1,4764690,1979
2,4764690,1979
4,4779535,1980
3,4779535,1980
1,4779535,1980
2,4779535,1980
4,4799964,1981
3,4799964,1981
1,4799964,1981
2,4799964,1981
4,4826933,1982
3,4826933,1982
1,4826933,1982
2,4826933,1982
4,4855787,1983
3,4855787,1983
1,4855787,1983
2,4855787,1983
4,4881803,1984
3,4881803,1984
1,4881803,1984
2,4881803,1984
4,4902206,1985
3,4902206,1985
1,4902206,1985
2,4902206,1985
4,4918154,1986
3,4918154,1986
1,4918154,1986
2,4918154,1986
4,4932123,1987
3,4932123,1987
1,4932123,1987
2,4932123,1987
4,4946481,1988
3,4946481,1988
1,4946481,1988
2,4946481,1988
4,4964371,1989
3,4964371,1989
1,4964371,1989
2,4964371,1989
4,4986431,1990
3,4986431,1990
1,4986431,1990
2,4986431,1990
4,5013740,1991
3,5013740,1991
1,5013740,1991
2,5013740,1991
4,5041992,1992
3,5041992,1992
1,5041992,1992
2,5041992,1992
4,5066447,1993
3,5066447,1993
1,5066447,1993
2,5066447,1993
4,5088333,1994
3,5088333,1994
1,5088333,1994
2,5088333,1994
4,5107790,1995
3,5107790,1995
1,5107790,1995
2,5107790,1995
4,5124573,1996
3,5124573,1996
1,5124573,1996
2,5124573,1996
4,5139835,1997
3,5139835,1997
1,5139835,1997
2,5139835,1997
4,5153498,1998
3,5153498,1998
1,5153498,1998
2,5153498,1998
4,5165474,1999
3,5165474,1999
1,5165474,1999
2,5165474,1999
4,5176209,2000
3,5176209,2000
1,5176209,2000
2,5176209,2000
4,5188008,2001
3,5188008,2001
1,5188008,2001
2,5188008,2001
4,5200598,2002
3,5200598,2002
1,5200598,2002
2,5200598,2002
4,5213014,2003
3,5213014,2003
1,5213014,2003
2,5213014,2003
4,5228172,2004
3,5228172,2004
1,5228172,2004
2,5228172,2004
4,5246096,2005
3,5246096,2005
1,5246096,2005
2,5246096,2005
4,5266268,2006
3,5266268,2006
1,5266268,2006
2,5266268,2006
4,5288720,2007
3,5288720,2007
1,5288720,2007
2,5288720,2007
4,5313399,2008
3,5313399,2008
1,5313399,2008
2,5313399,2008
4,5338871,2009
3,5338871,2009
1,5338871,2009
2,5338871,2009
4,5363352,2010
3,5363352,2010
1,5363352,2010
2,5363352,2010
4,5388272,2011
3,5388272,2011
1,5388272,2011
2,5388272,2011
4,5414293,2012
3,5414293,2012
1,5414293,2012
2,5414293,2012
